review_id,product_id,product_title,star_rating,review_headline,review_body
RDIJS7QYB6XNR,B00EDBY7X8,Monopoly Junior Board Game,5.0,Five Stars,Excellent!!!
R36ED1U38IELG8,B00D7JFOPC,56 Pieces of Wooden Train Track Compatible with All Major Train Brands,5.0,Good quality track at excellent price,"Great quality wooden track (better than some others we have tried). Perfect match to the various vintages of Thomas track that we already have. There is enough track here to have fun and get creative incorporating your key pieces with track splits, loops and bends."
R1UE3RPRGCOLD,B002LHA74O,Super Jumbo Playing Cards by S&S Worldwide,2.0,Two Stars,Cards are not as big as pictured.
R298788GS6I901,B00ARPLCGY,Barbie Doll and Fashions Barbie Gift Set,5.0,my daughter loved it and i liked the price and it came ...,my daughter loved it and i liked the price and it came to me rather than shopping with a ton of people around me. Amazon is the Best way to shop!
RNX4EXOBBPN5,B00UZOPOFW,Emazing Lights eLite Flow Glow Sticks - Spinning Light LED Toy,1.0,DONT BUY THESE!,Do not buy these! They break very fast I spun then for 15 minutes and the end flew off don't waste your money. They are made from cheap plastic and have cracks in them. Buy the poi balls they work a lot better if you only have limited funds.
R3BPETL222LMIM,B009B7F6CA,Melissa & Doug Water Wow Coloring Book - Vehicles,5.0,Five Stars,Great item. Pictures pop thru and add detail as &#34;painted.&#34;  Pictures dry and it can be repainted.
R3SORMPJZO3F2J,B0101EHRSM,Big Bang Cosmic Pegasus (Pegasis) Metal 4D High Performance Generic Battling Top BB-105,3.0,Three Stars,"To keep together, had to use crazy  glue."
R2RDOJQ0WBZCF6,B00407S11Y,Fun Express Insect Finger Puppets 12ct Toy,5.0,Five Stars,I was pleased with the product.
R2B8VBEPB4YEZ7,B00FGPU7U2,Fisher-Price Octonauts Shellington's On-The-Go Pod Toy,5.0,Five Stars,Children like it
R1CB783I7B0U52,B0013OY0S0,Claw Climber Goliath/ Disney's Gargoyles,1.0,Shame on the seller !!!,Showed up not how it's shown . Was someone's old toy. with paint on it.
R2D90RQQ3V8LH,B00519PJTW,100 Foot Multicolor Pennant Banner,5.0,Five Stars,"Really liked these. They were a little larger than I thought, but still fun."
R1Y4ZOUGFMJ327,B001TCY2DO,Pig Jumbo Foil Balloon,5.0,Nice huge balloon,"Nice huge balloon! Had my local grocery store fill it up for a very small fee, it was totally worth it!"
R2BUV9QJI2A00X,B00DOQCWF8,Minecraft Animal Toy (6-Pack),5.0,Five Stars,Great deal
RSUHRJFJIRB3Z,B004C04I4I,Disney Baby: Eeyore Large Plush,4.0,Four Stars,As Advertised
R1T96CG98BBA15,B00NWGEKBY,Team Losi 8IGHT-E RTR AVC Electric 4WD Buggy Vehicle (1/8 Scale),3.0,... servo so expect to spend 150 more on a good servo immediately be the stock one breaks right,Comes w a 15$ servo so expect to spend 150 more on a good servo immediately be the stock one breaks right away
R2ATXF4QQ30YW,B00000JS5S,Hot Wheels 48- Car storage Case With Easy Grip Carrying Case,5.0,Five Stars,awesome ! Thanks!
R1YS3DS218NNMD,B00XPWXYDK,"ZuZo 2.4GHz 4 CH 6 Axis Gyro RC Quadcopter Drone with Camera & LED Lights, 38 x 38 x 7cm",5.0,The closest relevance I have to items like these is while in the army I was trained ...,I got this item for me and my son to play around with. The closest relevance I have to items like these is while in the army I was trained in the camera rc bots. This thing is awesome we tested the range and got somewhere close to 50 yards without an issue. Getting the controls is a bit tricky at first but after about twenty minutes you get the feel for it. The drone comes just about fly ready you just have to sync the controller. I am definitely a fan of the drones now. Only concern I have is maybe a little more silent but other than that great buy.<br /><br />*Disclaimer I received this product at a discount for my unbiased review.
R2SDXLTLF92O0H,B00VPXX92W,Teenage Mutant Ninja Turtles T-Machines Tiger Claw in Safari Truck Diecast Vehicle,5.0,Five Stars,It was a birthday present for my grandson and he LOVES IT!!
R4R337CCDWLNG,B00YRA3H4U,Franklin Sports MLB Fold Away Batting Tee,3.0,Got wrong product in the shipment,"Got a wrong product from Amazon Vine and unable to provide a good review. We received a pair of cute girls gloves and a baseball ball instead, while we were expecting a boys batting tee. The gloves are cute, however made for at least 6+ yrs or above...more likely 8-9 yrs old girls.<br /><br />Can't provide a fair review as we were not able to use the product."
R32Z6UA4S5Q630,B009T8BSQY,Alien Frontiers: Factions,1.0,Overpriced.,You need expansion packs 3-5 if you want access to the player aids for the Factions expansion. The base game of Alien Frontiers just plays so much smoother than adding Factions with the expansion packs. All this will do is pigeonhole you into a certain path to victory.
R1H1HOVB44808I,B00PXWS1CY,Holy Stone F180C Mini RC Quadcopter Drone with Camera 2.4GHz 6-Axis Gyro Bonus Battery and 8 Blades,5.0,Five Stars,Awesome customer service and a cool little drone! Especially for the price!
R4UVQIRZ5T1FM,1591749352,Klutz Sticker Design Studio: Create Your Own Custom Stickers Craft Kit,4.0,Great product for little girls!,"I got these for my daughters for plane trip. I liked that the zipper pouch was attached for markers.  However, that pouch fell off.  But the girls have loved coloring their own stickers. Would def buy this again."
R226K8IJLRPTIR,B00V5DM3RE,Yoga Joes - Green Army Men Toys,5.0,Creative and fun!,"My girlfriend and I are both into yoga and I gave her a set of the Yoga Joes for her new home yoga room. When she saw them, she was impressed that I had found little green army men like her brother used to play with. Then she realized they were doing yoga and she almost exploded with delight. You should have seen the look on her face. Needless to say, the gift was a huge hit. They are absolutely brilliant!"
R3031Q42BKAN7J,B00UMSVHD4,Lalaloopsy Girls Basic Doll- Prairie Dusty Trails,4.0,i like it but i absoloutely hate that some dolls don't ...,i like it but i absoloutely hate that some dolls don't have pets like this one so I'm not stoked and i really would have liked to see her pet
